"product_uid","product_description"
100057,"EcoTouch insulation is the reinvention of fiberglass insulation from Owens Corning, the industry leader that invented fiberglass insulation. Install our insulation with confidence knowing that over 70 years of innovation and experience has gone in the making of EcoTouch insulation. Unlike traditional fiberglass insulation, Owens Corning EcoTouch insulation contains more than 99% natural ingredients consisting of minerals and plant-based compounds and is verified to be formaldehyde free. Owens Corning EcoTouch insulation is third-party certified to include a minimum of 65% total recycled content for unfaced insulation and 58% for kraft faced insulation. Owens Corning EcoTouch insulation helps to control sound and temperature - keeps your home warm in the winter and cool in the summer.Dimensions: 6-1/4 in. x 15 in. x 93 in., 8 pieces (77.5 sq. ft. / bag)Application: 2 in. x 6 in. walls (Interior / exterior ), floorsCompletely fills the cavity, eliminating gaps and the need for additional handworkProvides thermal performance and helps lower monthly heating / cooling costsEcoTouch insulation helps control sound; add to bedrooms, home office, family room, utility room, kitchen and bathroomCan be combined with FOAMULAR insulating sheathing to achieve greater R-value in exterior wall applicationsBuying guide and insulation calculator:"
100058,"This rechargeable emergency lamp is a must have in every home. It has an AC/DC charger and turns on automatically when the power goes out. It has 40 bright white LED bulbs and a 7 hour run time. It also has an easy carry handle. Don't be in the dark anymore when the power goes out.Turns on automatically when the power goes out7 hour run time on full chargeManual on/off switchFoldable carry handle40 LEDs with output of 300 LumensHome Depot Protection Plan:"
100059,"The rich color of this Textured Ceramic Shaped Planter is covered in a glaze for a polished look. A saucer collects the excess water from built-in drainage holes that protect against overwatering. David Brooks Pottery can tolerate extreme temperatures because they are high-temperature fired stoneware.Our planters feature attached saucers with drain hole for indoor and outdoor useHand-crafted with artisan glazes and colorsGlazed finish for beauty and durabilityDark blue color"
100060,"Add elegance and sophistication to any porch or deck. Porch and Newel post designs capture the elegant style of a turned, painted wood post without the maintenance. Structural newel posts available with flush-mount or thru-deck style for any type of installation scenario.Structural newel posts are available with flush-mount bases that bolt to any surface, or in thru-deck style for attachment to any structural member, thru-deck posts can also be used in masonry applications where core mounting is desiredUnderneath is a load-bearing aluminum column with a capacity of 5,000 lbs.Hurricane lock post bases prevent wind uplift, and eliminate roof jacking during installationEasy to installFlush mount bases are not included"
100061,"Fabback acrylic mirror is a great alternative to traditional glass mirrors. Its superior impact strength and lightweight attributes make this mirror a versatile product that can be used with confidence in many applications around the home. Its shatter resistant properties make it the obvious choice for bath mirrors, home gyms, dressing areas, and even children's play areas. Because its easily fabricated using common tools it can be used in custom applications such as table tops or cut to match a custom frame to create decorative wall mirrors. Regardless of the project, FABBACK acrylic mirror is a great item for use in any area of your home or office.Up to seventeen times greater impact resistance than glass mirror of equal thicknessLightweight - half the weight of glass mirror of the same size and thicknessCan be easily cut using standard plastic cutters and common tools around the homeEasy to care for using only a mild soap and water mixture and damp soft clothSilver mirror colorMirror must be adheared to a ridgid substrate (i.e. 1/2 in. plywood) before mounting to wall"
100062,"Evolution Series garbage disposals are the world's most advanced food garbage disposals . From the powerful induction motors with cutting edge grind technologies to the top-of-the-line sound reducing technologies, the Evolution Select Continuous Feed garbage Disposal delivers exceptional performance- a perfect solution for smaller households or kitchens with restricted cabinet space.Quick Lock sink mount allows for easy installation and disposer replacement5/8 HP Dura-Drive motor provides quiet operation and long life34.6 oz. grind chamber with stainless steel grind components offers durability in a compact sizeMultiGrind technology quickly grinds almost any food wasteSoundSeal technology delivers Quiet performance versus a standard disposer4-year We Come to You In-Home Service Warranty covers repair or replacement by an authorized dealerPower cord is sold separately for installations where a power outlet is present, most installations are direct wired and do not use a power cordMade in the USA and available only at The Home DepotHome Depot Protection Plan:"
100063,"This unique rope light comes in a 10 ft. length. Offers red, green, blue and clear coloring sure to accent any area where rope lighting can be utilized. Also, comes with a remote control for convenience to change colors with ease. Also Linkable with up to six connections.Convenient 3M tape to apply to surfaceRemote control included10 ft. LCSA and UL listedHome Depot Protection Plan:"
100064,"Use TrafficMASTER Allure 6 in. x 36 in. Resilient Vinyl Plank Flooring to add the warm, comfortable style of real wood to your interior living space. This highly durable, water-resistant flooring is great for use in basements, kitchens, bathrooms and high traffic areas. The floating floor installs over most existing surfaces including concrete, wood and vinyl with no floor preparation or adhesives required. It offers a patented GripStrip design for simple installation.Cherry color finish offers the natural look of real wood plank flooring3.8 mm thickness x 6 in. width x 36 in. length4 mil wear layerWater-resistant planks can be used almost anywhere in your homePatented GripStrip design offers easy installation over most existing floorsFor use indoors and in temperature controlled environments onlyEasy to clean and maintainRefer to the installation guide for detailed instructionsAll online orders for this item ship via parcel ground and may arrive in multiple boxes16 planks per case"
100065,"The Glacier Bay 2-Piece High-Efficiency Dual-Flush Complete Elongated Toilet in White delivers powerful 1.1 or 1.6 GPF flush performance and features a WaterSense certified design to help conserve water. This toilet's vitreous china construction offers resistance to acid, abrasion and staining. The all-in-one product contains the toilet bowl, tank and seat along with a wax ring and floor bolts with caps. Limited Lifetime Warranty.2-piece design features a separate tank and bowl16.5 in. chair height elongated bowl meets ADA standardsWaterSense certified product meets high-efficiency toilet (HET) standardsVitreous china resists stains, acid and abrasionDual-flush design provides superior flushing performance of solids and liquids to help prevent clogs1.1 or 1.6 GPFWhite toilet with a chrome-plated, top-mounted flush button complements many bathroom decorsRated #1 dual flush toilet by a leading consumer magazine"
100066,"Cutting Edge Professional Ice Melt is Safer For People, Property and Pets. It provides no-slip protection on steps, sidewalks and driveways. It will not harm concrete when used as directed.Safer ice melt provides safe, no slip protection on steps, sidewalks and driveways making it a great choice for commercial and residential use when used as directedNon-magnesium product formulated without magnesium chloride, safer to handle without protective clothing, it will not dry out or irritate the skin; making it safer for people, property and petsWill not attack concrete, harm property and is pet safe when used as directedHas an extended shelf life: is specially formulated with an anti-caking agent to allow for free-flowing dispersionSpecially coated with green color indicator to ensure cost-effective dispersionNon-tracking: designed to stay where appliedFor commercial and residential use - safer way to melt away gutter ice damsEffective - long lasting ice melt action for added protection and economy"
100067,"The Weyerhaeuser 1/2 in. x 10 ft. Rebar is made from Grade 40 unfinished steel for strength and durability. The rebar is designed with ridges to help concrete grip the bar.Made from Grade 40 unfinished steelCan be used as a forming stake, garden stake, tent stake, sprinkler head stake, connector tie or in concrete reinforcementRidges help concrete grip the barColor coded for easy identificationRusting does not affect performanceCut to a 10 foot lengthNote: Product may vary by store."
100068,"The Rheem Performance Plus 50 Gal. Natural Gas Tall Water Heater comes with a 40,000 BTU/hour environmentally friendly low NOx burner that provides ample hot water for households with three to five people. The push button ignition system ensures safe and easy startup. Its maintenance free combustion air intake system means there are no filters to clean and replace. The self-diagnostic gas control valve monitors system performance. A premium grade anode rod provides long-lasting tank protection. Factory installed temperature and pressure relief valve and 3/4 in. water connections are included with the water heater for easy installation.California residents:due to requirements from air quality management districts in the state of California, please use the map below to confirm whether you live in an area that requires the purchase of ultra low NOx water heatersDue to ultra low NOx requirements from air quality management districts in the state of California, please confirm that your shipping zip code is not restricted from the use of items that do not meet local qualificationsNatural gas water heater costs less to operate than electric modelsDelivers 84 Gal. of hot water in the first hour9 year limited warranty on tank and parts for your convenience2 year in home labor warranty for peace of mind0.62 energy factor makes this one of the most efficient gas water heaters availableMaintenance free - no filter to clean or replacePush button ignition system simplifies the startup processSelf-diagnostic gas valve monitors system performanceDesigned for easy replacement of your existing water heaterRated for installations up to 8,500 ft.Call 1-855-400-2552 before noon for same-day service in most areas, or Visit our Water Heater Installation page for more information.Meets new 2015 NAECA StandardsCalifornia Residents - See if your county requires water heaters that meet Air Quality Management District Ultra low NOx (ULN) requirements:"
100069,"The Shark Rotator Slim-Light Lift-Away is an extremely light lift-away with a portable pod and a shoulder strap to make cleaning in your home easy. Armed with advanced swivel steering for excellent control when maneuvering around furniture, this vacuum has Anti-Allergen Complete Seal Technology + HEPA that traps 99.99% of dust and allergens inside the vacuum. Combined with 2 foam filters, this dust containment system helps keep dust and allergy-causing agents from escaping back into the air. The deluxe motorized brush roll can be turned on or off, providing powerful performance on both carpets and bare floors. The vacuum includes a crevice tool, wide upholstery tool, dusting brush, shoulder strap and accessory bag for convenient storage. It also includes a Dust-Away attachment that enhances bare floor cleaning. Based on ASTM F1977 of particles between 0.3 and 0.5 microns.California residents: see&nbsp;Proposition 65 informationNever Loses Suction technology2-in-1 Lift-Away technology with shoulder strapPremium floor nozzle with headlightsAnti-Allergen Complete Seal technologyDust-away hard-floor attachment for powerful bare floor cleaning"
100070,"Light your counters with the GE 18 in. Direct Wire under cabinet LED fixture. This high powered fixture mounts under any cabinet, bathing your task area in a bright warm light suitable for any task, and can be switched to a low level for accent lighting/nightlight. GE LED Light fixtures are energy efficient and cool to the touch, lowering your energy consumption when compared to Halogen and Fluorescent under cabinet fixtures.Contains 6 non-replaceable LEDs639 LumensDirect wireHigh and low light settingsHome Depot Protection Plan:"
100071,"Brighten any room in your home with this Steves & Sons patio door. This Energy Star qualified 1-3/4 in. door is pre-assembled in a fully weather-stripped frame for easy installation. The door is assembled with brushed nickel hinges and adjustable mill finish sill. The patio door and frame are primed and ready to finish in a color of your choice.Top quality galvanized steel with polystyrene core construction provides energy efficiency and securityInterlocking stile edge provides structural rigidityHigh performance bronze weather stripping and adjustable mill sill provides a tight seal against draftsAssembled with lowE tempered glass and external 15-lite grille for energy efficiencyPrimary door is doubled bored for lockset with deadbolt and heavy duty astragal on secondary door for added securityPrimed smooth surface ready for paintingPrehung 4-9/16 in. primed frame with retrofit doors for easy installation when replacing existing sliding patio doorRequires rough opening of 60 in. x 80 in., actual unit size 4-9/16 in. x 59 in. x 79-1/2 in.From the outside primary door opens toward the inside of the home with the hinges on the leftEnergy Star compliantBrickmold and interior trim sold separately"
100072,"Recommended for durable surfaces such as wood, tile and carpet. Tape is easily removable within a 3-day period.  With a medium adhesive this tape is perfect for multiple surfaces.14-day removalMedium adhesionMulti-surface useMade in the USAClick here to see Home Depot's tape buying guideClick here to find out which painting tape is right for your project"
100073,"The Husky 17 in. Open Tool Tote with Rotating Handle offers an Open Top with a Rotating Handle allowing for full access to tools stored inside. This item also offers reinforced pockets for durability through years of use. The Husky 17 in. Open Tool Tote with Rotating Handle is the perfect fit for anyone in need of open top storage and long-lasting durability.600 denier water-resistant material19 reinforced pocketsRotating handle17 in. L x 8 in. W x 10 in. H3 year limited warrantyNote: product may vary by store"
100074,"Soho Thames Beige 4 ft. x 6 ft. Area Rug is a fun and functional collection of hip designs. It is as funky and cheeky as the neighborhood that bears its name. Soho is great finish and cool designs.100% WoolCotton backingHand Crafted in IndiaSoho is painstakingly and enthusiastically finishVacuum regularly and spot clean; do not dry cleanYarn dyed for vibrant, lasting colorPlease Note: The digital images and product dimensions on our website are as accurate as possible. Due to differences in computer monitors, some rug colors may vary slightly. Lengths and widths may vary from the published dimensions. We do our best to provide you with an exact measurement, but please be advised that some variation exists. Patterns may vary slightly according to shape and size selected."
100075,"Relax the look of any room with the calm and comforting Driftwood Flatweave Bamboo Roman Shade. Environmentally friendly, semi-private textured natural shades (also called bamboo blinds, bamboo shades, or woven woods) stylishly filter light and protect your furniture from fading. The rich wood tones of natural shades are complimentary to jute and sisal rugs as well as many hardwood floor and furniture finishes. Natural shades are textured window blinds that are available in many different colors and styles. They are popular window treatments for coastal and beach properties, lakeside or country cottages, and traditional or metropolitan homes. For additional privacy or neutral backing, you can attach a fabric privacy liner to the back side of natural shades. Another option for additional privacy is to outside mount natural shades, then inside mount an inexpensive white black out roller blind. Fabric privacy liners and black out roller blinds both can be purchased on homedepot.com.23 in. W x 72 in. LActual blind width size is 22.5 in.NOTE: This blind is 0.5 in. (1.27 cm) narrower than the order size (or the size shown on the box)For an inside mount, fits windows 23 in. wideFor an outside mount, order 0.5 in. wider than the overall area to be covered6 in. matching valance included1/4 in. flatstick driftwood slats alternate with 1/8 in. natural brown bamboo matchstick that provides light filtering and semi-private window treatment to your home, cottage, lake or beach houseReal natural bamboo slats are easy to maintainSemi- private shades provide light and privacy control for windowsDriftwood natural bamboo slats alternate in a coastal pattern woven wood weave that will compliment any roomSemi-private roman shade have a lift and fold system that opens and closes easily for some privacy and light control lightDecorative tassel matches perfect to the style of the shadeFinished bottom railDecorative designer tips included on packageEasy installationInterior roman shadeDesigner Tips: Add additional depth and texture to a room by layering natural shades under curtain panels or cornice boards; To make a window look larger, outside mount the shades on the window molding, or up to the ceilingNot sure what size to buy? Click here to download a printable window treatment measuring guide!WARNING: The cords on this product present a potential strangulation hazard. For child safety, consider cordless alternatives or products with inaccessible cords. To access a copy of the warning label, see additional images."
100076,"Enhance your outdoor area with the Universal Forest Products, Inc. 4 in. x 4 in. x 6 ft. Pressure-Treated Pine 2-Hole Split Rail Corner Post. Constructed of solid wood for lasting durability, the post is pressure treated to help withstand a variety of weather conditions and other elements of nature.California residents: see&nbsp;Proposition 65 informationSolid pineNatural wood; brown and tanCan be painted or stained2-hole designPressure treatedFor residential useNote: Product may vary by store"
100077,"Designed to join 3 lengths of pipe in a 90 degree branch connection, the Mueller Global 3/4 in. black iron tee is for use in gas, oil, and air applications. This tee is designed to withstand up to 500 PSI of pressure. Each tee has the Mueller brand cast into the body, a sign of assured 100% quality inspection and testing.Forms a 90-degree branch connection of 3 pipesFor use in potable gas, oil, and air applicationsMalleable iron class 150 lb.Relative softness of metal helps provide a sure sealFemale threads comply with ansi b 1.20.1Meet astm and asme standardsNote: Product may vary by store."
100078,"Safavieh's Courtyard collection was created for today's indoor/outdoor lifestyle.These beautiful but practical rugs take outdoor decorating to the next level with new designs in fashion-forward colors, and patterns from classic to contemporary. Made with enhanced material for extra durability, Courtyard rugs are pre-coordinated to work together in related spaces inside or outside the home. Safavieh developed a special sisal weave that achieves intricate designs that are so easy to maintain, you simply clean your rug with a garden hose.100% PolypropyleneNo backing, rug pad recommended to avoid shifting and slidingPower Loomed in TurkeyWater resistant making it perfect for outdoor useVacuum regularly and spot clean; for hard-to-remove stains, professional rug cleaning is recommendedFor an instant decorating makeover, this area rug is one of the easiest and most fashionable ways to refresh a room with character and stylePlease Note: The digital images and product dimensions on our website are as accurate as possible. Due to differences in computer monitors, some rug colors may vary slightly. Lengths and widths may vary from the published dimensions. We do our best to provide you with an exact measurement, but please be advised that some variation exists. Patterns may vary slightly according to shape and size selected.60 day manufacturer warranty, for warranty information on this product, please call our Internet Customer Service Center at 1-800-435-4654"
100079,"The Frigidaire 18 cu. ft. Top Freezer has 2 Full-Width Glass Shelves and 2 Humidity Control Crisper Drawers for storing fruits and vegetables. Equipped with bright lighting to keep contents clearly visible. Freezer has a half width shelf for flexible storage options as well as two full-width door racks.Optional icemaker eliminates the need to fill ice trays and ensures you have a steady supply of ice on handSingle knob control inside the refrigerator for easy temperature management2 Full-width sliding glass shelves in the fresh food compartment help you to stay organized2 Humidity-Controlled Crisper Drawers keep your fruits and vegetables freshDoor storage includes 3 Full-width racks that give you room for larger items like a gallon of milkLarge 14.1 cu. ft. Fresh Food Capacity has the space to keep foods organized while 3.98 cu. ft. Freezer Capacity gives you room for storing all your frozen foods2 Full-width freezer door racks and 1 half-width shelf gives you more usable space and better organizationDairy compartment with a clear dairy door is perfect for storing butter and cheesesColor coordinated cabinet, door, and handles give you a refined lookBright lighting makes it easy to see what's insideA two-door refrigerator model that features the freezer on top and the refrigerator on the bottomClick Here for details on the services included with Delivery & Basic Hook-up and Installation options for Major Appliances"
100080,"The Brinly 24 in. x 36 in. Heavy-Duty Tow-Behind Poly Lawn Roller easily hooks behind your tractor for towing. The drum features polyethylene construction to help resist dents and rust, and the end caps are rounded to help prevent lawn damage when turning.Capacity of up to 690 lb.Easily hooks behind your tractor for towingDrum features polyethylene construction to help resist dents and rustEnd caps are rounded to help prevent lawn damage when turningLarge opening for easy filling and emptyingLightweight, easy-to-store design"
100081,"Made of solid Vikrell material, the Accord series offers a sleek, seamless appearance, the four piece modular design with caukless seams allows for easy installation. Ample, out of the way shelving, provides plenty storage and bathing room.15 in. from floor to top of apronMade from solid Vikrell material for strength, durability, and lasting beautyModular design allows for easy installation during any phase of constructionHigh-gloss finish provides a smooth, shiny surface that is easy to cleanFour integrated and recessed corner shelves for generous storage spaceNo caulking required in the seamsConforms to ANSI Z124.1.2 and CSA B45.1 National Consensus StandardsBath only installation not recommended. Install with 71244100 wallset"
100082,"What a wonderfully crafted slate top and metal shelf baker's rack that fits into any kitchen, nook, or patio in the home.  All the metal is finished in a rich powder coated black which gives the product a distinct look. The nicely sculpted metal top adds to the beauty of this unit. The 3 metal slotted shelves are perfect for that additional storage that is always needed.Constructed of metal and stoneLarge slate natural rustic top adds a certain eleganceClean with a dry non abrasive clothReady to assemble"
100083,"Shape Products Thick & Strong Area Well Covers are made extra thick to give your well extra protection from weather and animals. This cover has a sloped design which helps to shed water. Keep your well free of leaves, debris, animals, and the elements while allowing light into your basement. This cover is made for 37 in. x 16 in. half-circle area wells and is recommended for wells 36-37 in. wide x 15-16 in. deep for a close fit.Keeps your well free of leaves, debris, animals, rain, snow, and cold: helps save energySloped design: Helps shed water away from your house and wellIncludes easy to install spring-clip hardware: Installs in 10 minutes5-Year warranty"
100084,"Unique gel paint lets you create glow in the dark projects that wash away with soap and water. Glo Away paint is safe for fabric, wood, glass, plastic and ceramics. Paint can be used to do artwork and can be added to other projects that you want to glow.Certified AP non toxicPaint is perfect for decorating kids rooms and ceilingsReactivates when exposed to lightCan be used with stencils to create unique and exciting projects"
100085,"Bali Cut-to-Size 12 mil Vinyl Roller Shades effectively block the light while providing privacy with heavy, 4 ply vinyl. Great for bedrooms and media rooms, the durable, blackout vinyl shades features cordless control for safe, easy operation. A great solution for windows of many sizes, they can be easily trimmed to your desired width. Maintain the smooth, bright look of the shades by occasionally wiping them with a damp cloth. Available in classic white or cream.36.5 in. W x 78 in. LActual Blind Width is 36.5 in.No deductions are made to this blind - the actual width of this blind is the same as width orderedFor an Inside Mount, fits windows: 36.5 in. WideFor an Outside Mount, order the width of the overall area to be coveredCordless roller shades are ideal for homes with children or petsAvailable in classic white or cream colorTo correctly measure and mount your shades (either inside or outside the window frame) please consult the installation guideIf mounting the blind on the outside of the window opening (outside mount) you can order the next larger size, or a couple of sizes larger, to get additional overlap on the window if desiredNon-standard widths can be ordered online or Bali Cut-to-Size in the store (Note: Availability may vary by store)For directions on adjusting roller tension, please click on the installation guideNo valance includedMounting brackets are sold separatelyNot sure what size to buy? Click here to download a printable window treatment measuring guide!"
100086,"The Rust-Oleum EpoxyShield 2 gal. Tan High-Gloss 2-Part Epoxy Garage Floor Coating Kit is easy to apply with a brush to garage concrete surfaces. The epoxy 2-part, water-based formula provides ideal protection and the high gloss sheen in tan offers a handsome appearance. Decorative chips are included for an appealing look.California residents: see&nbsp;Proposition 65 informationEasy to apply with a brush to garage concrete surfacesEpoxy 2-part, water-based formula provides ideal protectionHigh-gloss sheen in tan offers a handsome appearanceDecorative chips are included for an appealing lookFinish up to 500 sq. ft. or a 2-1/2 car garage for complete coverageFormulated to withstand wear and abrasionsResists damage by gasoline, anti-freeze, motor oil, salt and hot tiresEasy to clean with soap and waterActual paint colors may vary from on-screen and printer representations"
100087,"YuTrax best-selling model, the portable TX107 aluminum folding arch ramp features a compact folding design that is perfect for use on short bed trucks. It is built with fully-welded construction for optimum durability to ensure you get your ATV, UTV or lawn and garden equipment to its destination safely.Dimensions: 12 in. x 89 in. single ramp open 12 in. x 44.5 in. single ramp foldedLightweight, fully-welded aluminum constructionRamp's extruded rectangular side rails resist bending; the taller rectangular cross section supports more weightExclusive tread gripping mesh surface makes loading lawn tractors and other vehicles with low clearance quick and easyHeavy-duty hinges and joints are welded, not riveted, for added peace of mindRubber coated tabs protect your tailgate from scratchesAdjustable straps or chains secure ramps in placeCapacity: 750 lbs. single ramp 1500 lbs. pair"
100088,"The Werner Compact Aluminum Attic Ladder is lightweight and easy to open and close with the included assist pole. Its compact design installs into small openings for access to untapped storage space, ideal for hallways, closets and other tight spaces. With a 250 lb. duty rating, the durable aluminum ladder features non-marring feet to protect any flooring type. The slip-resistant steps and oversized hand rail offer additional safety and comfort while climbing, making it easy to access small openings.Aluminum construction offers lightweight durability250 lb. duty rating ideal for most household tasksTelescoping design gives you quick, hassle-free access to small attic openings anywhereIdeal for hallways, closets and other tight spacesAssist pole allows for easy opening and closingHardware for door included (door sold separately)ANSI and OSHA compliant for safetyNote about attic clearance: minimum clearance required behind opening: 44 in.; minimum clearance required above attic opening: 28 in.; to mount assist arm on attic floor, 3/4 in. flooring 27 in. deep (minimum), the full width of opening, must be present in atticThe #1 brand in professional climbing equipment:"
100089,"This heavy duty Melnor Adjustable Rear Trigger Nozzle features an Adjustable tip that sprays from mist to jet so you can tackle a variety of watering jobs. The nozzle's trigger lock feature allows for continuous spraying. Adjustable tip features a mist or jet spray for a variety of watering jobs.Assembled dimension: 1.38 in. W x 3.5 in. D x 5.38 in. HHeavy duty zinc body construction with metal nozzle for durabilityInsulated rubber handleTrigger lockSqueeze handle for easy control of water flow"
100090,"Say you need just a little extra cooling, but you want a window unit that really works. Maybe one with 5,000 BTUs, dual cooling speeds and a 2-way air direction function that cools up to 150 sq. ft. Well, we've got it right here. Not a ton of bells and whistles. Just a really great air conditioner. LG window air conditioners come with multiple innovative features aimed at making your life cooler. Help keep your room cool with the LG Electronics 5,000 BTU Window Air Conditioner (LW5015). The air conditioner can cool a room of up to 150 sq. ft. and features adjustable temperature settings for a customized cool. The air conditioners 2-way air deflect.Estimated cooling area (150 sq. ft.) for temperature controlEasy Installation Kit Included. Get comfortable with the greatest of ease. This window unit comes with our easy to use installation kit so you can set up your air conditioner with ease2-speeds: 2 cooling and fan speeds with auto cool keep your cool under control three powerful cooling and fan speeds allow you to control the temperature of your room at your pace2-way air deflection helps spread the cool air throughout the roomWashable filter helps save money on replacementsEnergy efficiency rating of 11.2UL listed for safetyDesigned for installation in a window that measures 21 - 35 in. W and at least 12 in. HAutomatically restarts after a power failure there are storms, high winds and extreme heat that can lead to power outages keep yourself covered with AutoRestart, which automatically turns the unit back on when power is restoredRemoves up to 1.5 Pint of moisture from the air in a hour to control humidityProduct (W x H x D): 17.31 in. x 11.13 in. x 14.38 in.Voltage/60 Hz: 115Top Down ChassisHome Depot Protection Plan:"
100091,"The WAYNE1/6 HP Submersible Utility Pump is ideal for draining flooded basements, emptying water-filled boats and removing water from sinks, tubs and flat roofs. Its oil-filled, thermally protected motor helps prevent overheating and can pump up to 950 GPH at 0 ft. of lift. The 3/4 in. discharge adapter connects to standard garden hose and its bottom-suction design removes water down to within 1/8 in. of the surface.Pumps up to 950 GPH at 0 ft. of liftOil-filled, thermally protected motor helps prevents overheatingIdeal for draining flooded basements, emptying water-filled boats and removing water from sinks, tubs and flat roofsTop center 3/4 in. discharge provides balanced installation3/4 in. discharge adapter connects to standard garden hoseBottom suction design removes water down to within 1/8 in. of surfaceEasy-access handle for portabilityUL listedHome Depot Protection Plan:"
100092,"Restore 4X Deck Coat is a water based problem solving coating, formulated to make light repairs and is 4X thicker than ordinary paint. It beautifies and protects old previously coated wood, bare wood, broom swept concrete and most synthetic decking with proper surface preparation. 4X is ideal for wood and composite decking, concrete docks and more.Superior coverageLong lasting protectionConceals hairline cracksOutlasts typical deck stainsBarefoot friendlyFor horizontal and vertical surfacesCovers 80 sq. ft., two coats requiredOnline Price includes Paint Care fee in the following states: CA, CO, CT, MN, OR, RI, VT"
100093,"The M18 FUEL Hole Hawg 1/2 in. Right Angle Drill from Milwaukee drills faster than the original corded Hole Hawg, delivers over 150 7/8 in. holes per charge and is over 30% lighter weight than its corded predecessor. Optimized for electricians, the Hole Hawg delivers game-changing productivity for professionals drilling with augers up to 1-1/4 in. and self-feed bits up to 2 in. Featuring the POWERSTATE Brushless Motor, it delivers better performance than corded drills, especially under heavy load. This Hole Hawg is also designed with REDLINK PLUS Intelligence, preventing damage to the tool and battery caused by overloading or overheating. The tool uses REDLITHIUM XC 4.0 batteries (sold separately) that provide up to twice the run time and recharges of standard lithium, operate down to 0 F/-18 C and feature a battery fuel gauge to display the remaining charge.Includes 2707-20 right angle drill and chuck keyPOWERSTATE Brushless Motor provides constant power under heavy load to complete holes faster than corded drillsREDLINK PLUS Intelligence ensures optimal performance and overload protection to prevent damage to tool or battery during heavy applicationsAll-metal keyed chuck offers maximum durability and bit retentionOnboard chuck key holder for added convenienceCompatible chargers: M18/M12 multi-voltage (48-59-1812), M18 AC/DC (2710-20)Compatible batteries: compact 1.5 Ah (48-11-1815), compact 2 Ah (48-11-1820), extra capacity 3 Ah (48-11-1828), extended capacity 4 Ah (48-11-1840)5-year warranty on toolHome Depot Protection Plan:"
100094,"The Ariens Deluxe Two-Stage 28 in. Gas Snow Blower offers powerful snow-clearing action. Snow removal is even easier with the new Auto-Turn steering feature. There is no more straining or fumbling with triggers to turn your Sno-Thro around. Auto-Turn is just that - Automatic. The Sno-Thro will turn when and where you want it to, with ultimate traction. It features a 254 cc Ariens AX engine. With a 28 in. clearance width and a 21 in. intake height, this rust-resistant snow blower features an electric ignition button for quick starts, and 205-degree chute rotation with remote deflector control to easily change the height and direction of snow being thrown. The Deluxe Sno-Thro series machines are the most popular and versatile choice to clear walkways and driveways of all sizes to any home or business.254 cc Ariens AX engine offers powerful snow-clearing actionThe new auto-turn steering offers maximum control, precise turning and smooth operation all with no levers or triggers28 in. clearance width and 21 in. intake height make quick work of clearing driveways and patios in minimal passes6 Forward speeds and 2 reverse speeds let you adjust snow throwing to accommodate different conditions14 in. serrated auger handles compacted snow and ice and aggressively pulls it into the blower housing14 in. 3-blade impeller provides the driving force necessary to powerfully discharge the snowHeavy-duty cast iron gear case with alloy steel gears and L-3 synthetic severe-duty gear oil provides continuous reliability and a longer gear life with a 5-year warrantyDual-handle interlock system conveniently frees one hand to allow chute and speed adjustments while maintaining operator safetyExclusive dual belt auger drive system propels snow up and out of the chute powerfully and continually, providing sustained power and longer belt life with minimal to no maintenance or adjustments205-degree, 2.5x ice drill chute with a remote deflector accurately discharges snow up to 50 ft. for enhanced clearing120-Volt electric push-button start provides a quick and easy startLarge, in-dash halogen headlight helps provide extended snow removal time and added safetyHeavy-duty, reversible skid shoes adjust the height of the blower housing to help clear uneven surfacesRust-resistant exterior helps ensure long-term useIncludes a 3 year limited consumer warrantyIn most shipping areas, Ariens offers free white glove delivery service, Sno-Thro will be shipped to your local Ariens authorized servicing dealer, who will complete 100% assembly of unit and perform multi-point inspection prior to home delivery, multi-point inspection includes, operators manual confirmation, set tire pressure, check fluid levels, and file warranty registration informationDisclaimer in qualifying area only - If an Ariens authorized dealer is not in your shipping area, the Sno-Thro will ship mostly assembled, directly to you via regular truck delivery, simple set-up instructions will be included with unit, to confirm White Glove Delivery availability prior to purchasing, call 888-927-4367 option #2Home Depot Protection Plan:"
